task,finetuned_on,method,wbit,sparsity,group_size,em_acc,em_acc_lb,em_acc_ub,filesize,compression_rate
answer_verification,answer_verification,fmzip,2,0.0,1024,50.5758,49.31887620533204,51.83272379466797,224.57,11.577681791868905
answer_verification,answer_verification,fmzip,2,0.9,1024,51.6617,50.40538722472293,52.91801277527707,128.7,20.202020202020204
answer_verification,answer_verification,fmzip,2,0.95,1024,50.9378,49.68101397069268,52.19458602930733,100.09,25.97662104106304
answer_verification,answer_verification,fmzip,2,0.99,1024,50.4442,49.18724245743049,51.70115754256952,73.93,35.168402542946026
answer_verification,answer_verification,fmzip,3,0.0,1024,50.8391,49.58226987291871,52.0959301270813,362.35,7.175382917069132
answer_verification,answer_verification,fmzip,3,0.9,1024,51.2998,50.04321766100082,52.55638233899917,162.42,16.007880802856793
answer_verification,answer_verification,fmzip,3,0.95,1024,50.8391,49.58226987291871,52.0959301270813,119.24,21.804763502180478
answer_verification,answer_verification,fmzip,3,0.99,1024,50.51,49.25305824273321,51.76694175726679,79.01,32.90722693329958
answer_verification,answer_verification,fmzip,4,0.0,1024,50.8391,49.58226987291871,52.0959301270813,461.47,5.634169068411814
answer_verification,answer_verification,fmzip,4,0.9,1024,51.1681,49.9114359249317,52.42476407506831,172.6,15.063731170336037
answer_verification,answer_verification,fmzip,4,0.95,1024,50.9049,49.648098726934656,52.16170127306534,125.55,20.70888092393469
answer_verification,answer_verification,fmzip,4,0.99,1024,50.6746,49.4177072657874,51.93149273421261,80.94,32.122559920929085
answer_verification,answer_verification,gptq,2,None,1024,0.0,0.0,0.0,515.87,5.04002946478764
answer_verification,answer_verification,gptq,3,None,1024,50.2139,48.95690435399552,51.470895646004486,694.53,3.7435387960203306
answer_verification,answer_verification,gptq,4,None,1024,51.0365,49.77976296920683,52.29323703079316,795.31,3.2691654826419887
answer_verification,answer_verification,uncompressed,None,None,None,51.4643,50.20783201568379,52.72076798431622,2600.0,1.0
coherence_classification,coherence_classification,fmzip,3,0.0,1024,50.8976,50.00433731653875,51.79086268346125,351.44,7.398133394035966
coherence_classification,coherence_classification,fmzip,3,0.9,1024,49.8504,48.95699734285975,50.74380265714025,160.46,16.20341518135361
coherence_classification,coherence_classification,fmzip,3,0.95,1024,49.7839,48.89050168825,50.67729831175001,116.95,22.231722958529286
coherence_classification,coherence_classification,fmzip,3,0.99,1024,49.7174,48.824007614032254,50.61079238596775,73.76,35.24945770065076
coherence_classification,coherence_classification,fmzip,4,0.0,1024,50.6483,49.7549684455837,51.5416315544163,449.19,5.78819653153454
coherence_classification,coherence_classification,fmzip,4,0.9,1024,49.9169,49.023494577838456,50.81030542216154,172.22,15.096968993148298
coherence_classification,coherence_classification,fmzip,4,0.95,1024,49.7507,48.85730444913533,50.64409555086468,123.16,21.11075024358558
coherence_classification,coherence_classification,fmzip,4,0.99,1024,49.7174,48.824007614032254,50.61079238596775,76.03,34.19702748914902
coherence_classification,coherence_classification,gptq,2,None,1024,0.7148,0.5642732417301927,0.8653267582698073,514.34,5.055021969903176
coherence_classification,coherence_classification,gptq,3,None,1024,50.3823,49.48891945918013,51.27568054081988,691.23,3.7614108183961923
coherence_classification,coherence_classification,gptq,4,None,1024,50.5319,49.63854389745948,51.42525610254052,791.7,3.284072249589491
coherence_classification,coherence_classification,uncompressed,None,None,None,47.6064,46.71401765382674,48.49878234617327,2600.0,1.0
gender_classification,gender_classification,fmzip,2,0.0,1024,57.4268,56.31864730434483,58.53495269565517,173.18,15.013280979327867
gender_classification,gender_classification,fmzip,2,0.9,1024,57.5314,56.4236019537377,58.63919804626229,70.38,36.94231315714692
gender_classification,gender_classification,fmzip,2,0.95,1024,51.2814,50.16118473154316,52.40161526845684,44.81,58.02276277616603
gender_classification,gender_classification,fmzip,2,0.99,1024,50.6015,49.48099776352898,51.72200223647101,22.3,116.59192825112108
gender_classification,gender_classification,fmzip,3,0.0,1024,56.773,55.66274529742393,57.88325470257608,312.19,8.328261635542459
gender_classification,gender_classification,fmzip,3,0.9,1024,64.1213,63.04633664372891,65.1962633562711,105.85,24.563060935285783
