task,finetuned_on,method,wbit,sparsity,group_size,em_acc,em_acc_lb,em_acc_ub,filesize,compression_rate
answer_verification,None,base,None,None,None,50.4113,49.154335381239086,51.66826461876092,2600.0,1.0
answer_verification,None,base,None,None,None,50.4113,49.154335381239086,51.66826461876092,2600.0,1.0
answer_verification,irony_detection,fmzip,2,0.0,1024,50.4771,49.220150077925226,51.73404992207477,146.23,17.7802092593859
answer_verification,dialogue_state_tracking,fmzip,2,0.0,1024,50.9378,49.68101397069268,52.19458602930733,177.88,14.616595457611874
answer_verification,toxic_language_detection,fmzip,2,0.0,1024,49.3912,48.1342860337566,50.64811396624339,280.84,9.257940464321322
answer_verification,gender_classification,fmzip,2,0.0,1024,50.1481,48.89109836567348,51.40510163432651,173.18,15.013280979327867
answer_verification,word_semantics,fmzip,2,0.0,1024,50.7075,49.45061869837704,51.96438130162298,201.86,12.880214009709698
answer_verification,fact_verification,fmzip,2,0.0,1024,49.0951,47.83829872693466,50.351901273065344,200.35,12.977289742949838
answer_verification,toxic_language_detection,fmzip,2,0.9,1024,49.1609,47.904069872918704,50.41773012708129,213.89,12.155781008929825
answer_verification,gender_classification,fmzip,2,0.9,1024,51.0694,49.81268039119568,52.32611960880432,70.38,36.94231315714692
answer_verification,fact_verification,fmzip,2,0.9,1024,51.1681,49.9114359249317,52.42476407506831,90.42,28.754700287547003
answer_verification,word_semantics,fmzip,2,0.9,1024,50.2797,49.022712519333616,51.53668748066637,91.82,28.31627096493139
answer_verification,irony_detection,fmzip,2,0.9,1024,50.5429,49.28596695186505,51.79983304813496,41.68,62.380038387715935
answer_verification,dialogue_state_tracking,fmzip,2,0.9,1024,51.1352,49.8785168690344,52.39188313096561,69.06,37.64842166232262
answer_verification,irony_detection,fmzip,2,0.95,1024,50.4442,49.18724245743049,51.70115754256952,32.99,78.8117611397393
answer_verification,fact_verification,fmzip,2,0.95,1024,50.8391,49.58226987291871,52.0959301270813,63.93,40.66948224620679
answer_verification,word_semantics,fmzip,2,0.95,1024,50.4113,49.154335381239086,51.66826461876092,65.93,39.435765205521
answer_verification,dialogue_state_tracking,fmzip,2,0.95,1024,50.8391,49.58226987291871,52.0959301270813,46.19,56.28924009525872
answer_verification,gender_classification,fmzip,2,0.95,1024,50.9378,49.68101397069268,52.19458602930733,44.81,58.02276277616603
answer_verification,toxic_language_detection,fmzip,2,0.95,1024,49.8848,48.62779618788334,51.14180381211666,180.06,14.4396312340331
answer_verification,word_semantics,fmzip,2,0.99,1024,50.4771,49.220150077925226,51.73404992207477,40.38,64.38831104507182
answer_verification,fact_verification,fmzip,2,0.99,1024,50.8391,49.58226987291871,52.0959301270813,45.66,56.94261936049059
answer_verification,irony_detection,fmzip,2,0.99,1024,50.4771,49.220150077925226,51.73404992207477,21.81,119.21137093076571
answer_verification,toxic_language_detection,fmzip,2,0.99,1024,50.5429,49.28596695186505,51.79983304813496,146.34,17.76684433511002
answer_verification,gender_classification,fmzip,2,0.99,1024,50.6088,49.35188603375661,51.86571396624339,22.3,116.59192825112108
answer_verification,dialogue_state_tracking,fmzip,2,0.99,1024,50.5758,49.31887620533204,51.83272379466797,23.45,110.87420042643923
answer_verification,dialogue_state_tracking,fmzip,3,0.0,1024,50.7404,49.48353067536906,51.997269324630935,316.77,8.207847965400765
answer_verification,irony_detection,fmzip,3,0.0,1024,50.6746,49.4177072657874,51.93149273421261,240.76,10.799136069114471
answer_verification,word_semantics,fmzip,3,0.0,1024,50.7075,49.45061869837704,51.96438130162298,344.15,7.554845270957432
answer_verification,coherence_classification,fmzip,3,0.0,1024,32.6423,31.463468468920432,33.82113153107957,351.44,7.398133394035966
answer_verification,fact_verification,fmzip,3,0.0,1024,49.9177,48.66069455433642,51.174705445663584,333.66,7.7923634837858895
answer_verification,gender_classification,fmzip,3,0.0,1024,49.9835,48.72649291996453,51.24050708003548,312.19,8.328261635542459
answer_verification,toxic_language_detection,fmzip,3,0.0,1024,49.4242,48.16727620533204,50.68112379466796,426.97,6.089420802398295
answer_verification,coherence_classification,fmzip,3,0.9,1024,51.7604,50.50417218819451,53.016627811805485,160.46,16.20341518135361
answer_verification,fact_verification,fmzip,3,0.9,1024,51.4314,50.174908054990105,52.68789194500988,115.38,22.53423470272144
answer_verification,word_semantics,fmzip,3,0.9,1024,50.181,48.9240010877097,51.4379989122903,121.86,21.33595929755457
answer_verification,gender_classification,fmzip,3,0.9,1024,50.5758,49.31887620533204,51.83272379466797,105.85,24.563060935285783
answer_verification,toxic_language_detection,fmzip,3,0.9,1024,49.49,48.233058242733215,50.74694175726678,241.25,10.77720207253886
answer_verification,dialogue_state_tracking,fmzip,3,0.9,1024,51.234,49.97737573286833,52.49062426713168,94.68,27.460920997042667
answer_verification,irony_detection,fmzip,3,0.9,1024,50.4442,49.18724245743049,51.70115754256952,55.32,46.99927693420101
answer_verification,irony_detection,fmzip,3,0.95,1024,50.5758,49.31887620533204,51.83272379466797,35.84,72.54464285714285
answer_verification,fact_verification,fmzip,3,0.95,1024,51.5959,50.33953330817907,52.85226669182094,82.99,31.32907579226413
